"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5415","id:C207 - Authorization with invalid phone","","Thu Oct 17 14:54:06 UTC 2024","passed","Thu Oct 17 14:54:12 UTC 2024","","Authorization with invalid phone","",""
"","68299","id:C296 - Verify category (Категорія) section.","","Thu Oct 17 14:54:31 UTC 2024","passed","Thu Oct 17 14:55:40 UTC 2024","","Verify category (Категорія) section","",""
"","4703","id:C576 - Authorization with invalid email","","Thu Oct 17 14:54:07 UTC 2024","passed","Thu Oct 17 14:54:11 UTC 2024","","Authorization with invalid email","",""
"","7571","id:C329 - Verify """"Далі"""" button","","Thu Oct 17 14:54:35 UTC 2024","passed","Thu Oct 17 14:54:43 UTC 2024","","Verify """"Далі"""" button","",""
"","5064","id:C297 - Verify unit name section","","Thu Oct 17 14:54:53 UTC 2024","passed","Thu Oct 17 14:54:58 UTC 2024","","Verify unit name section","",""
"","3444","id:C200 - Authorization with empty fields","","Thu Oct 17 14:54:06 UTC 2024","passed","Thu Oct 17 14:54:10 UTC 2024","","Authorization with empty fields","",""
"","6594","id:C201 - Authorization with valid email and password","","Thu Oct 17 14:54:06 UTC 2024","passed","Thu Oct 17 14:54:13 UTC 2024","","Authorization with valid email and password","",""
"","7545","id:C298 - Verify vehicle manufacturer section","","Thu Oct 17 14:55:07 UTC 2024","passed","Thu Oct 17 14:55:15 UTC 2024","","Verify vehicle manufacturer section","",""
"","6786","id:C299 - Verify model name input field","","Thu Oct 17 14:54:34 UTC 2024","passed","Thu Oct 17 14:54:40 UTC 2024","","Verify model name input field","",""
"","119551","id:C212 - Checking ""Послуги"" section on the main page","","Thu Oct 17 14:55:06 UTC 2024","passed","Thu Oct 17 14:57:06 UTC 2024","","Checking ""Послуги"" section on the main page","",""
"","4","id:C213 - Checking the Спецтехніка section and related functionality","","Thu Oct 17 14:55:22 UTC 2024","skipped","Thu Oct 17 14:55:22 UTC 2024","","Checking the Спецтехніка section and related functionality","",""
"","7887","id:C202 - Authorization with valid phone and password","","Thu Oct 17 14:54:15 UTC 2024","passed","Thu Oct 17 14:54:23 UTC 2024","","Authorization with valid phone and password","",""
"","63572","id:C318 - Verify description section","","Thu Oct 17 14:54:32 UTC 2024","broken","Thu Oct 17 14:55:36 UTC 2024","","Verify description section","",""
"","5704","id:C226 - Verify """"У Вас залишилися питання?"""" form","","Thu Oct 17 14:54:19 UTC 2024","passed","Thu Oct 17 14:54:25 UTC 2024","","Verify """"У Вас залишилися питання?"""" form","",""
"","3566","id:C326 - Verify """"Скасувати"""" button","","Thu Oct 17 14:54:22 UTC 2024","passed","Thu Oct 17 14:54:26 UTC 2024","","Verify """"Скасувати"""" button","",""
"","4322","id:C319 - Verify vehicle location division","","Thu Oct 17 14:54:54 UTC 2024","passed","Thu Oct 17 14:54:59 UTC 2024","","Verify vehicle location division","",""
"","6522","id:C214 - Verify that all elements on the footer are displayed and all links are clickable","","Thu Oct 17 14:54:17 UTC 2024","passed","Thu Oct 17 14:54:24 UTC 2024","","Verify that all elements on the footer are displayed and all links are clickable","",""
"","3812","id:C577 - Authorization with invalid password","","Thu Oct 17 14:54:07 UTC 2024","passed","Thu Oct 17 14:54:11 UTC 2024","","Authorization with invalid password","",""
"","63557","id:C317 - Verify technical characteristics section","","Thu Oct 17 14:54:35 UTC 2024","broken","Thu Oct 17 14:55:38 UTC 2024","","Verify technical characteristics section","",""
"","3539","id:C294 - Verify body title and tab titles","","Thu Oct 17 14:54:22 UTC 2024","passed","Thu Oct 17 14:54:26 UTC 2024","","Verify body title and tab titles","",""
